City ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
109,Lebu,2,CL,1594694095,76.0,-37.62,-73.65,47.46,1.86
110,Mandalay,75,MM,1594694599,74.0,21.97,96.08,82.4,8.05
111,Emerald,0,AU,1594694482,35.0,-23.53,148.17,64.99,3.0
112,Hinatuan,71,PH,1594694762,61.0,8.37,126.33,86.94,4.41
113,Vao,100,NC,1594694174,77.0,-22.67,167.48,72.77,11.81
114,Poções,95,BR,1594694762,96.0,-14.53,-40.37,60.82,2.37
115,Castro,5,BR,1594694039,93.0,-24.79,-50.01,60.24,5.5
116,Flinders,89,AU,1594694194,82.0,-34.58,150.86,57.99,10.0
117,Yumen,25,CN,1594694763,32.0,40.28,97.2,78.75,11.27
118,General Roca,45,AR,1594694763,80.0,-39.03,-67.58,35.6,2.24
119,East London,0,ZA,1594694164,45.0,-33.02,27.91,57.11,26.53
120,Barrow,90,US,1594694064,78.0,71.29,-156.79,37.4,11.41
121,Bonavista,100,CA,1594694515,72.0,48.65,-53.11,63.0,1.99
122,Hambantota,40,LK,1594694188,100.0,6.12,81.12,78.8,5.82
123,Oktyabr'skoye,70,RU,1594694763,83.0,43.06,44.74,69.8,2.24
124,Laguna,1,US,1594694185,37.0,38.42,-121.42,89.6,10.29
125,Aitape,92,PG,1594694763,64.0,-3.14,142.35,84.92,6.26
126,Usinsk,27,RU,1594694764,64.0,65.99,57.53,57.56,10.29
127,Fort Nelson,75,CA,1594694764,77.0,58.81,-122.7,62.6,10.29
128,Faanui,87,PF,1594694182,81.0,-16.48,-151.75,79.23,14.12
129,Qaqortoq,100,GL,1594694706,81.0,60.72,-46.03,50.0,6.93
130,Malakal,85,SS,1594694764,89.0,9.53,31.66,72.93,2.08
131,Ponta do Sol,20,PT,1594694764,82.0,32.67,-17.1,68.0,3.36
132,Klaksvík,96,FO,1594694483,100.0,62.23,-6.59,48.2,6.93
133,Turukhansk,99,RU,1594694764,94.0,65.82,87.98,54.54,13.04
134,Esperance,40,AU,1594694181,93.0,-33.87,121.9,50.0,19.46
135,Touros,0,BR,1594694172,88.0,-5.2,-35.46,69.8,3.36
136,Saldanha,87,ZA,1594694167,81.0,-33.01,17.94,50.0,11.41
137,Bukachacha,0,RU,1594694764,41.0,52.98,116.92,81.81,5.53
138,Abu Samrah,0,SY,1594694765,73.0,35.3,37.18,70.68,9.22
139,Gilford,1,US,1594694597,82.0,43.55,-71.41,66.2,2.57
140,Mugur-Aksy,100,RU,1594694765,80.0,50.35,90.5,47.07,8.14
141,Suba,100,PH,1594694765,69.0,10.84,121.01,83.79,4.76
142,Taoyuan,100,CN,1594694765,99.0,32.3,120.62,82.99,5.08
143,Isangel,75,VU,1594694173,65.0,-19.55,169.27,82.4,6.93
144,Kadoma,75,JP,1594694765,100.0,34.73,135.58,75.2,11.41
145,Galveston,1,US,1594694765,83.0,29.37,-94.97,84.2,12.75
146,Matara,100,LK,1594694637,80.0,5.95,80.54,82.56,9.71
147,Naryan-Mar,89,RU,1594693983,73.0,67.67,53.09,50.0,4.99
